Analysis spots,Fe,S,Cu,Na,Mg,Al,Si,K,Ca,Rb,Sr,Ti,V,Cr,Mn,Pb,Co,Ni,Zn,Ga,Ge,As,Se,Mo,Ag,Cd,In,Sn,Sb,Te,Ba,W,Au,Tl,Bi
Isocubanite (N +AD0- 62),ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08+AC0-01+AC0-01,272003,206855,88265,1431,212043,56.2,210356,455,490,2.08,17.1,2.29,6.57,6.24,1374,1.88,1287,6.83,5227,1.19,10.9,6.2,63.2,5.9,1.08,8.95,2.65,8.88,1.05,3.76,0.54,b.d,0.12,0.11,0.28
W08+AC0-01+AC0-02,428188,353517,155232,327,21031,1.99,30454,320,328,1.33,5.46,0.7,0.37,4.12,931,2.94,2032,1.59,7394,0.74,10.4,2.82,153,3.92,1.6,12.7,3.87,8.38,0.23,29.4,0.34,0.01,0.04,0.14,0.22
W08+AC0-01+AC0-04,426746,331021,212301,68.8,4610,0.27,7569,41.3,124,0.21,0.14,0.16,0.25,b.d,1892,4.39,2014,1.72,13393,0.42,11.1,0.2,146,0.69,2.41,19.7,4.11,8.92,b.d,20.5,0.03,0,0.01,0.04,0.19
W08+AC0-01+AC0-05,395780,335071,140978,565,52495,3.53,63699,299,b.d,1.06,1.61,0.75,1.68,b.d,1126,2.85,1556,13.7,8144,0.2,12,17.3,168,8.28,1.74,11.7,2.96,7.14,0.14,32.4,0.32,0.05,0.09,0.25,0.42
W08+AC0-01+AC0-06,433030,335946,211914,2.25,20.8,0.18,925,2.28,248,0.01,0,0.28,0.18,0.36,2266,3.23,1860,0.74,13437,0.13,10,0.9,259,0.2,3.84,19.2,3.86,10.4,b.d,36,0.06,b.d,0.02,0.01,0.36
W08+AC0-01+AC0-07,408110,318510,181545,357,32535,3.54,45891,252,111,0.96,0.99,0.8,1.08,b.d,1651,3.31,1593,7.88,9202,0.17,11.5,1.6,162,3.36,2.38,13,3.07,8.35,b.d,19,0.06,b.d,0.01,0.07,0.19
W08+AC0-01+AC0-08,308840,235619,144448,758,140273,13,159538,445,137,1.73,0.65,1.87,2.75,2.27,1359,2.12,1088,11.6,7303,0.45,11.1,7.72,97.8,6.32,1.44,8.62,2.41,8.14,0.37,12.3,0.25,0.04,0.02,0.1,0.19
W08+AC0-01+AC0-09,427932,338128,207959,46.2,3405,0.52,5579,30.5,26.7,0.13,0.1,0.23,0.26,b.d,2121,3.6,1869,1.41,12623,0.12,11.2,1.55,202,0.68,3.29,17.5,3.37,9.39,0.01,25.2,b.d,b.d,0.01,0.05,0.27
W08+AC0-01+AC0-10,325538,319476,170721,898,70286,5.01,104533,597,219,2.28,5.07,2.65,1.63,1.32,1102,5.01,917,16.4,5459,0.13,10.3,9.54,147,7.36,3.26,7.87,2.4,8.13,0.21,16.5,1.49,b.d,0.02,0.17,0.31
W08+AC0-01+AC0-11,404875,337497,175977,345,30516,3.75,36302,172,215,0.62,1.22,0.54,1.49,b.d,1567,3.93,1665,4.5,10664,0.27,10.7,1.61,126,3.22,1.96,16,3.22,8.99,b.d,14.9,0.12,b.d,0.01,0.05,0.2
W08+AC0-01+AC0-12,386029,323036,152749,685,56989,4.19,69071,370,436,1.52,6.45,0,2,b.d,1160,3.75,1670,11,7477,0.14,12.2,59.5,166,6.71,1.59,12.6,2.6,9.13,0.28,25.8,0.46,b.d,0.01,0.14,0.88
W08+AC0-01+AC0-13,415263,360181,192937,190,5092,1.59,11679,236,107,0.87,6.97,0.32,0.58,b.d,1671,2.86,2025,1.8,10385,0.24,11.4,1.21,155,2.37,2.3,14.8,3.04,9.16,b.d,18.8,0.28,0.02,0.02,0.05,0.12
W08+AC0-01+AC0-14,361418,282581,152103,795,90127,7.59,101375,432,390,2.14,2.65,1.75,2.96,2,1345,3.38,1224,17.5,7973,0.23,13.9,23.4,111,9.01,1.77,12.5,2.11,9.46,0.2,13.4,0.38,0.02,0.02,0.09,0.45
W08+AC0-01+AC0-15,372788,379788,162289,452,33222,2.27,42108,285,576,1.1,13.3,0.4,0.39,b.d,1304,3.71,1380,7.38,5492,0.09,13,78,147,8.87,2.1,10.4,2.4,7.58,0.8,15.8,0.99,0.02,0.06,0.17,1.18
W08+AC0-01+AC0-16,333950,321332,195611,663,63520,4.48,76507,384,197,1.69,4.6,0.77,1.61,b.d,1190,4.48,1488,14.5,4927,0.16,10.8,23.4,122,7.16,1.93,6.21,2.07,6.49,b.d,16.6,0.38,b.d,0.05,0.09,0.44
W08+AC0-01+AC0-17,397244,321991,191705,280,31748,3.52,40652,189,364,0.95,2.08,0.49,1.09,b.d,1527,3.98,1763,5.27,12325,0.27,11.4,0.02,130,4.36,2.27,19.3,3.13,9.61,b.d,16,0.35,b.d,0.01,0.04,0.18
W08+AC0-01+AC0-18,376738,337838,173911,473,45552,2.28,54070,302,711,1.17,6.14,0.57,0.62,4.29,1001,3.76,1705,8.28,7484,0.2,12.2,2.21,123,6.34,2.03,11.6,2.84,8.43,0.01,18.6,0.62,b.d,b.d,0.07,0.17
W08+AC0-01+AC0-19,421552,331131,205383,126,11660,1.17,15020,60,131,0.3,1.13,0.34,0.26,1.74,1888,3.28,1791,3.76,10986,0.12,10,1.29,194,2.06,3.1,14.7,3.18,8.79,0.06,23.8,0.2,b.d,0.02,0.02,0.21
W08+AC0-01+AC0-20,409909,312823,161611,537,46432,3.99,56463,304,492,1.32,3.81,0.33,1.51,3.59,1241,3.47,1574,12.8,8423,0.41,12,1.54,105,4.2,1.96,10.5,2.85,7.47,0.09,12.1,1.37,b.d,0.07,0,0.15
W08+AC0-01+AC0-21,341583,269339,110092,1111,120198,10,149056,579,87.7,3.16,1.65,2.07,2.41,0.18,1231,1.86,980,22.3,5583,0.37,9.72,5.15,66,8.34,1.48,6.89,1.66,7.05,0.24,7.74,1.07,0.08,0.08,0.22,0.05
W08+AC0-01+AC0-22,423204,323284,202174,217,16056,2.23,19408,99.1,84.6,0.37,0.82,0.57,0.98,1.16,1658,3.11,1661,2.77,11885,0.13,10.9,1.43,190,2.63,2.59,15.5,3.33,8.59,0.02,21.6,0.2,0.01,b.d,0.06,0.18
