   Fe    ,   Co    ,   As    ,   Se    ,   Ge    ,   Te    ,   Ag    ,   Sb    ,   Pb    ,   Cu    ,   Zn    ,   Cr    ,   Au    ,   S     ,   Ni    ,  Total  
46.769,0.08,0.008,0,0,0.004,0,0,0,0,0.008,0,0.012,53.232,0.173,100.286
46.252,0.155,0.021,0.055,0.013,0.02,0,0,0.017,0.001,0,0.012,0,53.356,0.071,99.973
46.533,0.087,0,0.052,0,0,0,0.001,0,0.008,0,0.012,0,53.224,0.061,99.978
46.278,0.393,0,0.03,0,0,0,0.005,0,0,0.003,0,0.014,53.196,0.077,99.996
46.509,0.071,0,0,0,0,0.016,0,0,0.001,0.031,0,0,53.235,0,99.863
45.997,0.078,0.164,0,0,0,0,0,0.008,0,0.022,0,0.002,52.996,0,99.267
46.064,0.152,0.206,0,0.007,0,0,0,0,0,0.035,0,0.055,52.828,0.039,99.386
46.909,0.082,0.014,0,0,0.017,0,0.01,0,0.035,0,0,0,53.234,0,100.301
46.39,0.075,0,0.018,0,0,0.013,0.007,0,0.015,0.061,0,0.015,53.14,0,99.734
42.638,2.54,2.476,0,0,0,0,0,0,0,0.034,0.012,0.013,51.388,0.008,99.109
44.039,1.796,0.034,0.012,0,0.02,0,0.01,0,0,0,0.013,0,53.138,0.096,99.158
45.725,0.222,0.023,0,0,0,0,0.01,0,0,0,0.022,0.029,52.945,0.377,99.353
43.975,2.215,0.033,0.016,0.016,0,0,0,0,0,0.006,0,0.041,53.126,0.11,99.538
43.712,2.838,0.018,0.03,0,0,0,0,0,0,0,0.019,0,53.028,0.109,99.754
43.409,2.675,0.001,0,0,0,0.012,0,0,0,0.013,0.046,0.021,52.932,0.131,99.24
45.239,1.208,0.041,0.017,0,0,0.012,0.004,0,0,0,0.007,0,53.236,0.09,99.854
44.122,1.81,0,0.021,0,0,0.007,0.011,0,0,0,0,0,53.166,0.198,99.335
45.929,0.103,0,0,0,0,0,0,0,0.014,0,0,0.066,53.264,0,99.376
45.341,0.656,0,0,0,0,0.016,0,0,0,0,0.019,0,52.775,0.901,99.708
45.388,0.442,0,0,0,0,0,0,0.008,0,0.021,0,0,53.258,0.117,99.234
45.815,0.086,0.006,0,0,0.003,0.01,0,0.04,0,0,0.016,0.005,53.111,0.006,99.098
45.514,0.49,0.02,0,0,0,0.01,0.007,0,0.034,0,0.009,0.022,53.52,0.699,100.325
44.469,2.572,0,0.005,0,0.006,0,0,0,0,0.007,0.013,0.037,53.081,0.104,100.294
44.056,2.809,0.037,0,0,0,0.017,0.008,0.061,0,0,0.012,0,53.061,0.091,100.152
43.787,2.298,0,0,0.01,0.003,0.001,0,0,0,0,0,0,52.964,0.158,99.221
44.666,1.596,0.02,0,0,0,0.013,0,0,0,0,0,0,53.013,0.139,99.447
45.341,1.097,0.405,0.005,0,0.009,0,0,0,0,0.002,0.004,0.006,52.854,0.01,99.733
46.746,0.071,0,0,0.036,0.009,0,0,0,0.016,0.037,0.009,0.005,52.995,0,99.924
46.326,0.291,0.119,0,0,0,0,0.002,0,0,0,0,0.01,53.16,0.078,99.986
46.342,0.136,0.02,0.011,0,0,0,0,0,0,0.059,0,0.023,53.239,0.01,99.84
45.659,0.872,0,0,0,0,0,0,0,0.003,0.005,0,0.008,52.973,0.048,99.568
46.381,0.124,0,0.039,0,0,0,0,0,0,0,0,0.022,52.884,0.002,99.452
46.425,0.129,0.025,0,0,0,0,0.029,0,0,0.028,0.013,0.042,53.252,0.015,99.958
46.477,0.167,0.009,0,0,0,0,0,0.007,0.023,0,0,0.027,53.11,0.019,99.839
43.872,1.1,0.008,0,0.018,0,0,0,0,0.014,0.021,0,0,53.175,1.132,99.34
46.122,0.191,0.172,0,0,0.004,0.01,0,0,0,0,0,0.035,52.938,0.073,99.545
45.87,0.215,0.01,0,0,0.001,0,0,0,0,0,0,0.038,53.165,0.004,99.303
44.445,1.665,0.178,0,0,0,0.007,0,0,0,0.052,0.016,0.033,52.972,0.074,99.442
46.137,0.346,0.01,0.007,0,0.01,0.015,0,0,0,0,0,0.024,53.381,0.066,99.996
43.811,3.404,0.037,0,0,0.012,0,0,0,0,0,0.014,0,52.676,0.278,100.232
46.044,0.419,0.044,0,0.032,0,0,0,0,0.008,0.023,0.01,0,53.068,0,99.648
45.832,0.363,0.062,0,0,0.02,0,0,0.032,0,0,0.006,0,52.995,0.021,99.331
45.463,0.306,1.093,0,0.027,0,0,0,0,0.01,0,0,0,52.258,0.032,99.189
45.607,0.477,0.18,0,0.005,0,0.003,0,0,0.04,0,0.013,0.023,52.949,0.076,99.373
46.365,0.129,0.043,0,0,0.004,0.005,0,0,0.015,0.032,0.009,0,53.302,0.03,99.934
45.799,0.413,0.092,0,0,0.001,0.01,0,0,0.013,0.059,0,0,53.194,0.04,99.621
45.789,0.35,0.01,0.011,0.005,0.005,0.004,0,0,0,0.012,0,0,53.043,0.029,99.258
45.687,0.37,0.027,0,0,0,0,0,0,0.006,0.045,0,0,53.071,0.034,99.24
45.884,0.412,0.035,0,0,0.007,0.027,0.004,0,0.018,0.003,0.704,0,52.248,0.138,99.48
46.518,0.425,0.068,0.004,0,0,0.011,0.011,0,0,0,0,0,53.128,0.032,100.197
46.742,0.075,0,0.002,0,0,0.007,0,0.01,0,0,0.009,0.049,53.246,0.017,100.157
46.801,0.056,0,0,0.04,0,0,0,0,0,0.034,0.02,0,53.439,0,100.39
46.257,0.08,0.077,0,0,0,0,0,0,0,0.007,0,0,53.109,0,99.53
46.706,0.067,0.051,0.03,0,0.002,0,0,0,0.014,0,0,0.008,53.378,0.008,100.264
46.666,0.08,0.54,0,0,0,0,0.016,0,0,0,0,0.034,52.399,0.002,99.737
46.287,0.081,0.047,0,0.01,0,0,0,0,0.022,0,0.014,0.018,52.691,0.001,99.171
46.64,0.126,1.122,0,0,0,0.011,0,0.012,0,0,0,0.036,51.8,0,99.747
46.643,0.109,0.025,0,0.024,0,0,0,0,0,0.017,0,0.005,52.394,0,99.217
46.82,0.123,0.051,0,0,0.019,0.001,0,0,0,0,0.037,0,52.25,0,99.301
46.235,0.087,0.945,0,0,0,0,0,0,0,0.027,0,0.033,52.09,0,99.417
46.742,0.094,0,0,0,0.017,0,0,0,0,0.019,0,0.004,53.068,0,99.944
46.515,0.086,0,0.009,0,0,0.01,0.005,0,0.016,0,0.025,0,53.358,0,100.024
45.151,0.895,0.413,0.001,0,0,0,0,0,0,0,0.006,0.01,52.725,0.101,99.302
46.424,0.154,0,0.011,0,0.004,0.006,0,0,0.022,0,0,0,53.225,0.002,99.848
46.43,0.134,0.022,0.02,0,0.003,0.008,0,0,0.019,0,0,0.014,53.133,0.021,99.804
45.054,1.206,0.021,0,0,0.017,0,0,0,0,0.005,0,0.002,52.672,0.199,99.176
44.535,2.024,1.088,0,0,0.002,0,0,0,0,0,0,0,52.343,0,99.992
46.621,0.066,0.03,0.066,0,0.026,0,0,0,0.002,0,0,0,53.163,0,99.974
46.691,0.082,0.024,0,0,0,0,0.011,0,0.037,0.029,0,0,53.204,0,100.078
46.503,0.073,0.01,0,0,0,0,0,0,0.04,0,0,0.01,53.257,0,99.893
46.221,0.214,0.107,0,0.008,0,0.001,0,0.007,0.004,0.024,0.001,0.048,53.037,0.047,99.719
46.8,0.078,0,0.017,0,0,0,0,0.012,0,0,0.007,0.012,53.725,0.003,100.654
46.242,0.712,0.172,0,0.011,0,0,0,0,0,0.016,0.007,0,53.282,0.005,100.447
46.783,0.323,0.031,0.011,0,0.005,0,0,0,0,0,0,0.023,53.377,0.034,100.587
46.253,0.352,0.063,0,0,0.009,0,0,0,0,0,0,0.058,53.179,0.106,100.02
46.065,0.205,0.292,0,0,0,0,0.012,0,0.019,0,0,0,52.924,0.005,99.522
46.319,0.572,0.045,0,0,0.004,0,0,0.025,0.019,0.033,0,0.014,53.303,0.146,100.48
45.96,0.505,0.161,0,0.008,0,0,0,0,0,0,0.006,0.028,52.779,0.079,99.526
45.744,0.986,0.173,0,0,0,0.005,0,0,0,0.007,0,0.024,53.306,0.121,100.366
46.315,0.146,0.351,0,0,0,0,0,0,0.015,0.019,0,0,52.84,0,99.686
45.755,0.943,0.123,0,0,0,0,0,0.005,0.011,0.037,0.019,0,53.063,0.173,100.129
45.19,1.085,0.139,0,0.005,0,0,0,0,0,0,0.001,0.006,53.085,0.087,99.598
46.118,0.655,0.146,0,0,0.029,0.007,0,0,0,0.027,0.007,0.018,53.137,0.032,100.176
45.368,0.789,0.159,0.016,0.031,0.011,0,0,0,0,0.012,0,0,52.972,0.129,99.487
46.13,0.414,0,0,0,0.015,0.01,0,0,0,0,0.014,0,52.563,0.111,99.257
46.581,0.183,0.459,0.026,0,0.015,0,0,0,0,0,0.013,0.054,52.114,0.106,99.551
45.503,0.085,1.815,0,0,0.044,0,0,0.003,0.037,0.005,0,0.005,52.351,0,99.848
46.303,0.074,0.044,0.009,0,0,0.037,0.012,0,0,0.005,0,0,52.683,0.006,99.173
