,,,,,,,,,,,,,,,,,,,,,,
Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,W,Au,Tl,Bi,Pb,,
0.005 ,0.010 ,0.140 ,0.070 ,0.005 ,0.100 ,0.050 ,0.100 ,0.300 ,5.000 ,0.010 ,0.008 ,0.050 ,0.040 ,0.015 ,0.016 ,0.007 ,0.004 ,0.002 ,0.005 ,0.004 ,,
10.23 ,0.30 ,1.56 ,13.62 ,4586.56 ,6634.23 ,1591.97 ,30.07 ,1984.93 ,409.04 ,0.48 ,3.87 ,0.49 ,0.03 ,0.29 ,1.72 ,0.21 ,0.91 ,0.01 ,17.88 ,32.49 ,,
10.84 ,0.22 ,0.62 ,2.16 ,3331.01 ,9340.98 ,49.08 ,5.12 ,1331.62 ,590.92 ,0.00 ,0.00 ,0.11 ,1.01 ,0.03 ,0.67 ,1.25 ,0.16 ,0.03 ,0.75 ,0.42 ,,
6.78 ,0.09 ,0.21 ,2.22 ,2451.39 ,18655.71 ,61.45 ,8.24 ,5500.88 ,455.14 ,0.02 ,1.78 ,0.09 ,0.28 ,1.30 ,0.77 ,0.06 ,0.37 ,0.01 ,12.70 ,40.12 ,,
501.05 ,1.60 ,0.00 ,14.54 ,4117.39 ,28.26 ,23.97 ,343.00 ,2575.64 ,183.97 ,0.35 ,1.28 ,0.00 ,0.00 ,10.65 ,0.71 ,0.95 ,0.51 ,0.05 ,3.28 ,149.91 ,,
875.50 ,11.46 ,3.11 ,18.08 ,3138.42 ,634.25 ,216.05 ,128.50 ,17172.08 ,227.72 ,4.19 ,15.50 ,0.80 ,3.57 ,0.00 ,35.00 ,0.45 ,7.10 ,0.80 ,14.47 ,2421.82 ,,
3159.29 ,36.17 ,8.64 ,86.88 ,710.64 ,47.91 ,459.02 ,169.53 ,11815.67 ,372.09 ,0.09 ,5.27 ,0.00 ,2.28 ,0.00 ,9.02 ,1.04 ,4.58 ,1.39 ,46.07 ,2329.13 ,,
689.75 ,21.00 ,2.59 ,73.56 ,2833.60 ,21.55 ,231.48 ,264.51 ,14685.86 ,659.56 ,0.59 ,8.49 ,1.66 ,9.13 ,0.00 ,11.71 ,2.10 ,3.65 ,2.15 ,14.71 ,3449.87 ,,
829.46 ,37.65 ,17.89 ,84.65 ,1050.14 ,19.78 ,594.21 ,5.45 ,14144.97 ,481.16 ,0.87 ,14.75 ,0.36 ,5.79 ,0.00 ,160.53 ,7.98 ,4.69 ,0.82 ,45.40 ,3856.91 ,,
61.72 ,1.29 ,0.21 ,2.62 ,655.39 ,8957.71 ,241.55 ,8.24 ,1460.88 ,335.14 ,0.42 ,1.72 ,0.39 ,2.28 ,3.34 ,1.27 ,1.06 ,0.47 ,0.31 ,14.70 ,42.12 ,,
371.05 ,2.40 ,2.10 ,13.54 ,3114.39 ,448.26 ,243.37 ,343.00 ,2475.44 ,153.97 ,3.35 ,1.23 ,0.00 ,0.00 ,14.65 ,3.11 ,1.95 ,0.31 ,0.05 ,2.38 ,129.91 ,,
575.40 ,14.46 ,18.11 ,58.05 ,3123.50 ,100.34 ,234.06 ,265.50 ,9172.78 ,0.00 ,2.19 ,12.50 ,0.30 ,2.54 ,47.72 ,15.20 ,3.35 ,2.10 ,0.40 ,13.43 ,2241.82 ,,
