iter	Passed	Remaining
0	175	175823
1	282	140916
2	327	108914
3	424	105728
4	512	102046
5	610	101170
6	736	104441
7	783	97212
8	882	97226
9	938	92959
10	985	88596
11	1066	87816
12	1210	91896
13	1379	97150
14	1429	93899
15	1567	96391516	1639	94788117	1731	94452
17	2167	11822819	1930	94614
20	2010	93718
21	2088	92844
22	2189	92987
23	2334	94916
24	2438	95102
25	2574	96432
26	2705	97483
27	2868	99563
28	2993	100221
29	3068	99228
30	3159	98759
31	3230	97711
32	3463	101492
33	3607	102502
34	3770	103962
35	3899	104415
36	4019	104619
37	4083	103388
38	4166	102673
39	4253	102079
40	4367	102162
41	4496	102565
42	4568	101685
43	4671	101497
44	4763	101099
45	4853	100662
46	4916	99690
47	4992	99018
48	5210	101117
49	5353	101716
50	5404	100572
51	5560	101363
52	5640	100788
53	5778	101222
54	5945	102159
55	6084	102567
56	6119	101247
57	6173	100271
58	6226	99304
59	6282	98429
60	6393	98416
61	6460	97736
62	6592	98051
63	6672	97586
64	6722	96693
65	6821	96541
66	6902	96121
67	6931	95002
68	6993	94366
69	7061	93811
70	7178	93927
71	7262	93608
72	7348	93311
73	7440	93100
74	7703	95003
75	7832	95222
76	8007	95984
77	8187	96776
78	8316	96955
79	8470	97410
80	8590	97470
81	8694	97337
82	8843	97701
83	8905	97113
84	9113	98101
85	9163	97393
86	9220	96766
87	9413	97554
88	9538	97634
89	9596	97034
90	9671	96612
91	9827	96990
92	9942	96964
93	10073	97093
94	10233	97486
95	10319	97178
96	10398	96801
97	10518	96812
98	10576	96258
99	10647	95826
100	10796	96101
101	10880	95791
102	10990	95716
103	11122	95827
104	11263	96005
105	11376	95949
106	11491	95908
107	11587	95702
108	11662	95335
109	11779	95307
110	11899	95302
111	12013	95249
112	12135	95260
113	12273	95384
114	12335	94929
115	12404	94527
116	12466	94085
117	12598	94165
118	12680	93875
119	12718	93267
120	12767	92745
121	12823	92286
122	12880	91839
123	12963	91583
124	13020	91140
125	13101	90878
126	13154	90422
127	13223	90083
128	13308	89861
129	13359	89409
130	13419	89019
131	13478	88631
132	13553	88354
133	13609	87952
134	13666	87565
135	13717	87144
136	13787	86851
137	13866	86618
138	13926	86266
139	13982	85894
140	14070	85722
141	14136	85415
142	14236	85320
143	14296	84986
144	14379	84787
145	14464	84607
146	14524	84279
147	14616	84141
148	14693	83918
149	14812	83935
150	14885	83692
151	14924	83265
152	14998	83033
153	15038	82611
154	15087	82251
155	15139	81909
156	15187	81547
157	15246	81249
158	15308	80970
159	15356	80619
160	15415	80334
161	15441	79876
162	15489	79539
163	15524	79136
164	15555	78722
165	15603	78391
166	15624	77937
167	15650	77505
168	15689	77148
169	15713	76716
170	15730	76262
171	15769	75915
172	15818	75616
173	15850	75246
174	15877	74849
175	15895	74420
176	15923	74041
177	15941	73618
178	15965	73225
179	15992	72852
180	16016	72471
181	16042	72101
182	16069	71742
183	16101	71405
184	16132	71070
185	16152	70688
186	16182	70356
187	16203	69983
188	16219	69597
189	16238	69227
190	16261	68877
191	16285	68536
192	16306	68183
193	16332	67856
194	16353	67512
195	16379	67189
196	16411	66897
197	16455	66651
198	16478	66326
199	16496	65987
200	16516	65653
201	16540	65342
202	16570	65057
203	16595	64754
204	16622	64463
205	16656	64201
206	16682	63909
207	16709	63625
208	16735	63338
209	16753	63025
210	16770	62710
211	16795	62428
212	16818	62141
213	16841	61858
214	16871	61602
215	16893	61315
216	16918	61048
217	16940	60766
218	16962	60493
219	16982	60212
220	17007	59950
221	17031	59685
222	17054	59424
223	17078	59164
224	17099	58898
225	17127	58659
226	17152	58410
227	17190	58208
228	17221	57980
229	17245	57733
230	17273	57502
231	17289	57235
232	17323	57025
233	17345	56779
234	17368	56539
235	17391	56301
236	17414	56064
237	17436	55826
238	17470	55628
239	17507	55440
240	17530	55211
241	17552	54977
242	17587	54789
243	17611	54567
244	17631	54335
245	17652	54106
246	17669	53867
247	17701	53675
248	17724	53457
249	17753	53261
250	17782	53065
251	17807	52855
252	17828	52639
253	17856	52445
254	17901	52300
255	17925	52097
256	17965	51938
257	17999	51765
258	18015	51543
259	18035	51330
260	18059	51133
261	18076	50918
262	18104	50733
263	18127	50537
264	18153	50351
265	18173	50147
266	18190	49938
267	18219	49763
268	18244	49578
269	18263	49380
270	18288	49195
271	18306	48997
272	18324	48799
273	18343	48602
274	18369	48429
275	18391	48243
276	18415	48066
277	18438	47887
278	18464	47715
279	18483	47527
280	18514	47374
281	18542	47211
282	18586	47090
283	18619	46941
284	18651	46791
285	18668	46605
286	18685	46421
287	18720	46282
288	18752	46135
289	18791	46006
290	18823	45860
291	18862	45734
292	18907	45624
293	18950	45505
294	18975	45349
295	19013	45221
296	19039	45067
297	19065	44911
298	19101	44782
299	19128	44632
300	19166	44509
301	19198	44373
302	19219	44210
303	19248	44067
304	19273	43918
305	19295	43762
306	19319	43609
307	19342	43458
308	19374	43325
309	19429	43245
310	19469	43133
311	19503	43006
312	19522	42848
313	19538	42685
314	19558	42532
315	19578	42378
316	19593	42216
317	19617	42072
318	19655	41960
319	19680	41821
320	19699	41670
321	19715	41512
322	19735	41364
323	19763	41235
324	19784	41091
325	19801	40939
326	19818	40788
327	19839	40645
328	19857	40500
329	19874	40351
330	19899	40220
331	19922	40085
332	19947	39953
333	19967	39814
334	19983	39669
335	20005	39534
336	20030	39407
337	20074	39317
338	20112	39215
339	20133	39083
340	20161	38962
341	20182	38830
342	20196	38684
343	20240	38597
344	20267	38478
345	20288	38348
346	20314	38227
347	20342	38113
348	20365	37989
349	20389	37867
350	20410	37738
351	20444	37635
352	20478	37533
353	20496	37402
354	20519	37281
355	20560	37192
356	20586	37078
357	20607	36954
358	20627	36830
359	20655	36720
360	20672	36591
361	20699	36480
362	20738	36392
363	20766	36283
364	20786	36162
365	20809	36046
366	20834	35934
367	20857	35820
368	20876	35699
369	20900	35586
370	20929	35483
371	20946	35361
372	20967	35245
373	20994	35139
374	21029	35048
375	21048	34932
376	21074	34826
377	21096	34714
378	21126	34615
379	21151	34509
380	21175	34403
381	21199	34296
382	21227	34196
383	21252	34092
384	21278	33989
385	21296	33876
