Fe+Q1:AC9Q1:AQ1:AC128,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
3,0.01,0.19,0.10,0.16,0.25,0.39,0.01,0.02,0.03,0.01,0.01,0.01
3,0.02,0.25,0.13,0.22,0.33,0.46,0.01,0.03,0.04,0.01,0.01,0.01
3,0.01,0.20,0.11,0.17,0.27,0.36,0.01,0.02,0.04,0.01,0.01,0.01
6,0.03,0.44,0.24,0.38,0.57,0.77,0.02,0.05,0.08,0.01,0.01,0.01
3,0.01,0.19,0.10,0.17,0.25,0.34,0.01,0.02,0.03,0.01,0.01,0.00
3,0.01,0.20,0.11,0.17,0.26,0.35,0.01,0.02,0.03,0.01,0.01,0.01
3,0.01,0.25,0.13,0.20,0.31,0.41,0.01,0.03,0.04,0.01,0.01,0.01
3,0.02,0.25,0.13,0.22,0.33,0.43,0.01,0.03,0.05,0.01,0.01,0.01
2,0.01,0.19,0.10,0.16,0.25,0.32,0.01,0.02,0.03,0.01,0.01,0.00
3,0.01,0.23,0.12,0.19,0.29,0.36,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.20,0.11,0.17,0.26,0.32,0.01,0.02,0.03,0.01,0.01,0.01
7,0.03,0.55,0.29,0.47,0.71,0.89,0.02,0.06,0.09,0.02,0.02,0.01
3,0.01,0.21,0.11,0.18,0.27,0.33,0.01,0.02,0.04,0.01,0.01,0.01
7,0.03,0.58,0.31,0.50,0.75,0.93,0.02,0.06,0.10,0.02,0.02,0.01
3,0.01,0.21,0.11,0.18,0.28,0.33,0.01,0.02,0.04,0.01,0.01,0.01
8,0.04,0.64,0.34,0.55,0.84,1.01,0.02,0.06,0.11,0.02,0.02,0.02
3,0.01,0.22,0.12,0.19,0.29,0.34,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.22,0.11,0.18,0.28,0.32,0.01,0.02,0.04,0.01,0.01,0.01
3,0.02,0.26,0.14,0.22,0.33,0.38,0.01,0.03,0.04,0.01,0.01,0.01
5,0.02,0.39,0.20,0.33,0.50,0.57,0.01,0.04,0.06,0.01,0.01,0.01
3,0.01,0.23,0.12,0.20,0.30,0.34,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.22,0.12,0.19,0.28,0.31,0.01,0.02,0.04,0.01,0.01,0.01
6,0.03,0.53,0.28,0.45,0.67,0.75,0.02,0.05,0.09,0.01,0.02,0.01
3,0.01,0.23,0.12,0.19,0.29,0.32,0.01,0.02,0.04,0.01,0.01,0.01
3,0.01,0.21,0.11,0.18,0.27,0.30,0.01,0.02,0.04,0.01,0.01,0.01
7,0.04,0.61,0.32,0.51,0.76,0.83,0.02,0.06,0.10,0.02,0.02,0.02
3,0.01,0.25,0.13,0.20,0.31,0.32,0.01,0.02,0.04,0.01,0.01,0.01
2,0.01,0.20,0.10,0.16,0.25,0.22,0.01,0.02,0.03,0.00,0.01,0.00
2,0.01,0.23,0.12,0.19,0.28,0.25,0.01,0.02,0.04,0.01,0.01,0.01
6,0.03,0.56,0.30,0.47,0.70,0.61,0.02,0.06,0.09,0.01,0.02,0.01
3,0.02,0.27,0.14,0.22,0.33,0.29,0.01,0.03,0.05,0.01,0.01,0.01
